Cases,Time
2.4842062051784e-07,10.799
2.5723618757914504e-07,10.8
2.675977527289078e-07,10.801
3.041715125529738e-07,10.802
3.139227710390501e-07,10.803
2.772807553183611e-07,10.804
2.435303094537876e-07,10.805
2.050890621386582e-07,10.806000000000001
2.001780565843778e-07,10.807
2.020811424708611e-07,10.808
2.0277032901961219e-07,10.809000000000001
2.2240332192983122e-07,10.81
3.055810810748655e-07,10.811
2.699450560560299e-07,10.812
2.517198654444674e-07,10.813
2.7187044399410013e-07,10.814
2.637501898479416e-07,10.815
2.277711874119063e-07,10.816
2.587088534564341e-07,10.817
2.0920377648033765e-07,10.818
2.1722214796730389e-07,10.819
2.7003000583559293e-07,10.82
2.499080239648312e-07,10.821
2.1364245724351725e-07,10.822000000000001
1.9425591621434058e-07,10.823
2.04853074900061e-07,10.824
1.738499800848392e-07,10.825000000000001
2.3288867567842117e-07,10.826
2.3940289067613244e-07,10.827
2.641771819616176e-07,10.828
2.99918342257453e-07,10.829
3.117035395089758e-07,10.83
2.753743064890087e-07,10.831
2.3370149069917042e-07,10.832
2.3030684166860295e-07,10.833
2.742394042465458e-07,10.834
2.899543093436957e-07,10.835
1.4855280857180154e-07,10.836
1.4142233830050692e-07,10.837
1.7712324113003506e-07,10.838000000000001
2.0630409229250018e-07,10.839
0.0,10.84
1.5608229502081152e-08,10.841000000000001
0.0,10.842
0.0,10.843
0.0,10.844
0.0,10.845
0.0,10.846
1.3527464377820009e-08,10.847
0.0,10.848
0.0,10.849
0.0,10.85
0.0,10.851
0.0,10.852
0.0,10.853
0.0,10.854000000000001
6.809731577584079e-08,10.855
0.0,10.856
2.2160527247978713e-08,10.857000000000001
1.219293897528314e-07,10.858
1.403377842696046e-07,10.859
1.788604155673708e-07,10.86
2.020862026189243e-07,10.861
1.7744024351169518e-07,10.862
2.5240155494289414e-07,10.863
2.52894418007732e-07,10.864
2.8461801222164973e-07,10.865
2.55894655335034e-07,10.866
2.404694894684119e-07,10.867
2.439551061707044e-07,10.868
2.1332545075095787e-07,10.869
1.7575679335166798e-07,10.870000000000001
1.991414556557886e-07,10.871
2.0697468027886065e-07,10.872
2.40769701773103e-07,10.873000000000001
2.303666230756144e-07,10.874
1.6405117181548277e-07,10.875
1.374309196436375e-07,10.876
1.2049854326858878e-07,10.877
1.3692658626799884e-07,10.878
9.96086762476355e-08,10.879
1.305508572098647e-07,10.88
1.0443787665904175e-07,10.881
5.4584891793266145e-08,10.882
7.354315661236666e-08,10.883000000000001
7.87406966076972e-08,10.884
9.688019514973517e-08,10.885
8.360056394532311e-08,10.886000000000001
7.82696189865889e-08,10.887
8.733242133882306e-08,10.888
1.8350579320666373e-08,10.889
1.5543064991851192e-07,10.89
1.7128263137142974e-07,10.891
1.4360932029360578e-07,10.892
1.4125937655047874e-07,10.893
1.225897880360111e-07,10.894
1.3423740549970666e-07,10.895
1.842171952564431e-07,10.896
2.0345209674001475e-07,10.897
2.3046024922154561e-07,10.898
2.482119976080203e-07,10.899000000000001
2.378750775730757e-07,10.9
2.399738807552404e-07,10.901
2.533802168464215e-07,10.902000000000001
2.643087548456863e-07,10.903
3.166179348442303e-07,10.904
2.827285469925307e-07,10.905
2.872907201122421e-07,10.906
2.837957872879038e-07,10.907
2.85544394354452e-07,10.908
2.802913145443964e-07,10.909
2.709564477461015e-07,10.91
2.627256594698413e-07,10.911
2.442859813099832e-07,10.912
2.464684119956204e-07,10.913
2.057911488998185e-07,10.914
2.2423807970436922e-07,10.915000000000001
2.243303997011313e-07,10.916
2.043448906818096e-07,10.917
1.9734529958138642e-07,10.918000000000001
